source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,Fe_H,Fe_H_error,E_BV,E_BV_error,Distance_modulus,Distance_modulus_error,NA
5873369976303440128,227.61719202892743,-63.90625447802959,RRab,0.4154212019446663,0.19627841,0.0018439558,0.09792572,0.0024052823,0.05685106,0.0028041988,4.4062214,0.022575596,2.781475,0.0473486,-0.061001170792898,0.4119827866962303,0.9087,0.0288,9.585942127822014,0.5541031095741111,
5888329867129335552,228.68309852538573,-52.41361597365936,RRab,0.41219518440662,0.22992861,0.0052778684,0.09001478,0.004856997,0.04833479,0.0031831039,4.4558663,0.09070505,2.5646331,0.09734325,-0.2469281594567415,0.4134329634109011,0.7133,0.0237,14.559277084647883,0.5794260365166014,
5902119529636885248,229.5157150655672,-50.11491061543583,RRab,0.4628489372508335,0.15733302,0.008544235,0.08857578,0.010732091,0.03394576,0.006885261,4.427199,0.10677841,2.8142958,0.40454286,-0.2933735497421258,0.5519123041269107,0.6629,0.0126,13.601360193927794,0.597949870941983,
5886834836225362816,231.0092168806912,-54.93319477423422,RRab,0.4915382832573848,0.12076075,0.010190862,0.056108132,0.008494045,0.03517902,0.012593649,4.6778574,0.1267091,3.4151387,0.33346033,0.1121929059215142,0.5366791990376711,3.1301,0.2384,10.372377386341975,0.8324911069528639,
5875944177927698432,231.82161914338164,-60.12356902929926,RRab,0.4657275709716917,0.09889664,0.0016232711,0.027638217,0.0013748121,0.009754386,0.001067736,4.629194,0.052481867,3.2963028,0.17530435,0.143736613107111,0.4732886122338219,1.3823,0.1077,12.48915894833001,0.6304293190085939,
5885483575096043520,233.1889604647296,-54.10793087541613,RRab,0.3669797189713208,0.26609,0.033425994,0.17612265,0.033103824,0.076114334,0.03194657,4.093904,0.21126935,2.3314996,0.56909645,-0.2151278162908306,0.6841351270969437,3.0941,0.1093,11.43226718856143,0.6982141841315757,
5882561653000115072,234.65478165219992,-57.68826145289435,RRab,0.3884960333394257,0.23217367,0.0110319,0.14109357,0.014972677,0.0713687,0.018876472,4.2587986,0.101748034,2.6600764,0.19166729,-0.0256811690338126,0.4307896780943993,2.293,0.0925,12.820128727329468,0.6134740979056753,
5881857626254474752,234.9771882954917,-59.24564867065257,RRab,0.3315962558137404,0.26990107,0.0073125437,0.11311297,0.00831682,0.056696896,0.0065431795,4.3420057,0.065850094,2.2932947,0.16312663,-0.0546622017662591,0.4085319350632577,1.2011,0.0589,13.720771816494551,0.5782122336899257,
5833761139434876416,236.7843848044492,-59.56965193771044,RRab,0.4040589344862741,0.28413674,0.018664945,0.114693016,0.018769994,0.04978137,0.023497447,4.0754323,0.13717127,2.026042,0.326146,-0.7080476063988216,0.4666147628439102,0.7298,0.0237,14.50448852979167,0.640042585870919,
5885845207032955136,237.0909234772801,-52.72580000845134,RRab,0.4765348344193688,0.13408308,0.011103625,0.04804233,0.011864457,0.052692916,0.0096581755,4.3616633,0.21794966,3.4061368,0.24358477,0.1870002609725035,0.4984900573269677,5.702,0.1701,4.151577926927698,0.7507683485739414,
