#,source_id,RA,DEC,Type,Period,A1,A1_error,A2,A2_error,A3,A3_error,Phi21,Phi21_error,Phi31,Phi31_error,[Fe/H],[Fe/H]_error,E(B-V),E(B-V)_error,Distance_modulus,Distance_modulus_error
4070261139775224832,268.6289500926001,-22.251561592278417,RRc,0.205826129942826,0.09626467,0.0048328377,0.008080117,0.006451529,0.009581105,0.0,3.6936903,0.3675569,3.9440434,0.36899182,-0.1260934604917337,0.3392080410421056,2.326,0.1353,11.616212168937684,0.6776047017438647,
4037458168086436224,270.17917742927443,-35.96295345644789,RRc,0.2158882918295816,0.1669356,0.0042190547,0.02673565,0.0037902405,0.015906863,0.0036554479,4.514677,0.18090837,3.0063808,0.32423517,-0.6019293992246268,0.3204118780415541,0.3613,0.0089,14.943799431782894,0.610313355155664,
4038894547010520576,270.84469416213966,-36.14462761602207,RRc,0.2378207062310101,0.19782452,0.003837254,0.028552504,0.0049468535,0.015770594,0.0047872374,4.8382597,0.146972,2.6163874,0.25091216,-0.895900116572826,0.3139588032414364,0.3057,0.0178,14.938481832640392,0.6500863428383077,
4049590630447906304,273.6703381919573,-30.41871705908773,RRc,0.2269077130044203,0.1793992,0.0039802366,0.027153566,0.003791455,0.009942355,0.0025737644,4.5254483,0.1563654,2.7261813,0.40089917,-0.764384476497749,0.3303277435171641,0.2938,0.0254,13.70002685341937,0.6502802612387534,
4049559152543579776,275.0585624982663,-29.672396491924847,RRc,0.2245990232453609,0.12790447,0.0017993227,0.016344544,0.0029444818,0.006239191,0.0025629774,4.6243873,0.1721326,3.9295368,0.3721698,-0.3669402354753819,0.3442975295729198,0.3386,0.0175,13.863741665933109,0.5789039358484502,
4046426510891385856,275.4901459195796,-30.656971460351063,RRc,0.248944361785167,0.20942152,0.0052337996,0.038417682,0.0066271964,0.018961815,0.0048254933,4.538217,0.08400641,2.9520347,0.22012419,-1.005838018525326,0.3273770932223707,0.2505,0.0095,14.345229645187093,0.6821999248451263,
6761116287372681728,282.4196391058749,-30.58324414300176,RRc,0.2415499217590284,0.16443361,0.0067650517,0.031102788,0.006232486,0.023238827,0.0058082836,4.5579624,0.1951778,3.3385205,0.2613452,-0.7854766567421019,0.3188269556110097,0.1629,0.0047,14.437853063887788,0.6466393453705651,
6031176214449222016,251.2947178913793,-30.34962382016949,RRc,0.2196540941019961,0.1702904,0.0017720684,0.0251841,0.0024213342,0.010109047,0.0028556588,4.5879536,0.084933974,3.3040051,0.24884818,-0.5511442846310466,0.3195038475874459,0.3723,0.0101,15.407245599696694,0.6002728246899194,
6026953333884968576,252.008792227238,-33.92003632865449,RRc,0.2252668629971664,0.16605178,0.002002994,0.025455603,0.0029464148,0.009647363,0.0024252303,4.681669,0.09968621,3.0460248,0.2620032,-0.6609486380158007,0.3167083957004589,0.7564,0.0114,15.250560218644427,0.6281470984224657,
5971521283376497664,252.54944472854788,-37.322754342009,RRc,0.2238532604437608,0.15456055,0.0021038025,0.024636656,0.0023176752,0.004981308,0.0020224585,4.5304856,0.08495251,3.039822,0.5231786,-0.6426541512297168,0.3352279694184045,0.8959,0.0866,14.32706476234432,0.6593808402080765,
6026276962440026752,253.6067997602933,-33.6625390185663,RRc,0.2373358549535237,0.15998095,0.0041398406,0.022861319,0.002188988,0.008997694,0.0024477367,4.529766,0.15376799,3.2483478,0.35418463,-0.6932529267630922,0.3275694004879631,0.488,0.0093,15.255305819493666,0.6173280744657125,
6026715770654140672,254.0812088453767,-32.855015798953765,RRc,0.2370705420989139,0.17503816,0.0020178,0.031099409,0.0023687733,0.0144723775,0.002093175,4.639646,0.052114844,2.6753712,0.13740827,-0.8997155335847242,0.3077870800655418,0.6254,0.0474,14.068530949403725,0.6665553803397559,
6026939113354383872,254.40651391841584,-31.556437092819163,RRc,0.2297172592004581,0.16692919,0.001630676,0.021463126,0.0020670237,0.009103285,0.0015602704,4.53786,0.05374301,3.3985567,0.17210515,-0.5805829494119121,0.3198705954601927,0.3937,0.0248,14.970956025835337,0.607428859477152,
6026439488382543104,254.7405575758952,-33.421760859917775,RRc,0.2422245845044357,0.16919911,0.004620166,0.026503317,0.006626131,0.01455129,0.0032871591,4.615644,0.15159267,2.4804733,0.3702501,-0.9456300734478807,0.3188256212781362,0.5312,0.0254,15.278111220565403,0.6704760433388424,
6030116736301362176,254.85565713457265,-28.70904016473995,RRc,0.2503811854135619,0.20415501,0.0038930953,0.037029453,0.003398369,0.014898451,0.0040900256,4.662453,0.13086607,2.5942125,0.2748611,-1.0874415394518189,0.31051177461906,0.2818,0.0117,14.37562783104651,0.7039005639226964,
6033372458891646592,254.87688119309007,-27.24152776802797,RRc,0.2300006691395407,0.16430615,0.0068484233,0.027670203,0.003941075,0.018843105,0.00542004,4.421564,0.19674033,3.1737332,0.37654877,-0.6926867744716774,0.3351444655406096,0.2546,0.0131,15.39322169685207,0.6300992606101566,
4113161296009149056,255.3301597236585,-24.486999738279472,RRc,0.2407702354876635,0.14477195,0.0036114794,0.016009111,0.0035630302,0.008634928,0.0053985924,4.618145,0.19108872,3.3406801,0.31008402,-0.6373464848046457,0.3275523026693012,0.3105,0.006,15.189150015745302,0.6255008071157881,
